Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.204,4911.4,483.0
4KB,1000,0.201,4967.3,483.0
4KB,1000,0.199,5020.8,483.0
4KB,1000,0.209,4774.1,483.0
4KB,1000,0.202,4959.2,483.0
4KB,1000,0.213,4693.0,483.0
4KB,1000,0.207,4837.9,483.0
4KB,1000,0.213,4691.4,483.0
4KB,1000,0.209,4783.0,483.0
4KB,1000,0.212,4712.4,483.0
4KB,1000,0.197,5078.6,483.0
4KB,1000,0.201,4964.7,483.0
4KB,1000,0.222,4511.1,483.0
4KB,1000,0.198,5058.7,483.0
4KB,1000,0.207,4837.0,483.0
4KB,1000,0.206,4845.0,483.0
4KB,1000,0.206,4864.1,483.0
4KB,1000,0.208,4818.5,483.0
4KB,1000,0.195,5134.2,483.0
4KB,1000,0.202,4958.4,483.0
4KB,1000,0.206,4863.2,483.0
4KB,1000,0.201,4972.3,483.0
4KB,1000,0.208,4800.9,483.0
4KB,1000,0.212,4721.0,483.0
4KB,1000,0.208,4796.4,483.0
4KB,1000,0.229,4358.1,483.0
4KB,1000,0.208,4815.1,483.0
4KB,1000,0.215,4661.3,483.0
4KB,1000,0.200,5007.9,483.0
4KB,1000,0.201,4966.2,483.0
4KB,1000,0.209,4781.0,483.0
4KB,1000,0.215,4649.6,483.0
4KB,1000,0.213,4704.1,483.0
4KB,1000,0.210,4756.2,483.0
4KB,1000,0.211,4744.8,483.0
4KB,1000,0.203,4932.6,483.0
4KB,1000,0.221,4527.8,483.0
4KB,1000,0.211,4744.1,483.0
4KB,1000,0.217,4598.9,483.0
4KB,1000,0.204,4901.6,483.0
4KB,1000,0.211,4733.3,483.0
4KB,1000,0.200,5007.3,483.0
4KB,1000,0.205,4878.0,483.0
4KB,1000,0.208,4801.4,483.0
4KB,1000,0.199,5026.5,483.0
4KB,1000,0.219,4568.8,483.0
4KB,1000,0.210,4754.6,483.0
4KB,1000,0.224,4456.4,483.0
4KB,1000,0.203,4925.7,483.0
4KB,1000,0.250,3996.8,483.0
4KB,1000,0.219,4569.9,483.0
4KB,1000,0.202,4948.2,483.0
4KB,1000,0.250,4005.5,483.0
4KB,1000,0.223,4486.8,483.0
4KB,1000,0.208,4797.2,483.0
4KB,1000,0.201,4977.8,483.0
4KB,1000,0.210,4759.5,483.0
4KB,1000,0.206,4844.1,483.0
4KB,1000,0.206,4843.7,483.0
4KB,1000,0.214,4669.1,483.0
4KB,1000,0.209,4786.8,483.0
4KB,1000,0.211,4748.8,483.0
4KB,1000,0.241,4157.1,483.0
4KB,1000,0.209,4792.4,483.0
4KB,1000,0.213,4694.6,483.0
4KB,1000,0.210,4769.0,483.0
4KB,1000,0.199,5018.2,483.0
4KB,1000,0.212,4721.9,483.0
4KB,1000,0.203,4926.1,483.0
4KB,1000,0.216,4624.3,483.0
4KB,1000,0.231,4328.7,483.0
4KB,1000,0.247,4056.1,483.0
4KB,1000,0.201,4967.4,483.0
