Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.085,11770.2,483.0
4KB,1000,0.088,11415.8,483.0
4KB,1000,0.088,11418.5,483.0
4KB,1000,0.091,10963.6,483.0
4KB,1000,0.088,11312.7,483.0
4KB,1000,0.095,10565.6,483.0
4KB,1000,0.094,10695.0,483.0
4KB,1000,0.093,10741.8,483.0
4KB,1000,0.091,10958.4,483.0
4KB,1000,0.090,11086.8,483.0
4KB,1000,0.103,9690.2,483.0
4KB,1000,0.111,8996.4,483.0
4KB,1000,0.116,8657.4,483.0
4KB,1000,0.114,8789.9,483.0
4KB,1000,0.113,8869.3,483.0
4KB,1000,0.112,8950.9,483.0
4KB,1000,0.112,8903.7,483.0
4KB,1000,0.113,8837.4,483.0
4KB,1000,0.114,8786.5,483.0
4KB,1000,0.114,8797.2,483.0
4KB,1000,0.114,8770.6,483.0
4KB,1000,0.113,8840.4,483.0
4KB,1000,0.114,8750.8,483.0
4KB,1000,0.113,8874.6,483.0
4KB,1000,0.115,8720.3,483.0
4KB,1000,0.115,8727.5,483.0
4KB,1000,0.109,9202.7,483.0
4KB,1000,0.110,9118.4,483.0
4KB,1000,0.112,8964.0,483.0
4KB,1000,0.110,9061.6,483.0
4KB,1000,0.114,8762.6,483.0
4KB,1000,0.115,8728.7,483.0
4KB,1000,0.118,8443.1,483.0
4KB,1000,0.115,8716.6,483.0
4KB,1000,0.121,8285.5,483.0
4KB,1000,0.122,8178.3,483.0
4KB,1000,0.116,8633.6,483.0
4KB,1000,0.120,8310.4,483.0
4KB,1000,0.116,8611.9,483.0
4KB,1000,0.113,8820.8,483.0
4KB,1000,0.112,8941.0,483.0
4KB,1000,0.118,8465.7,483.0
4KB,1000,0.113,8844.6,483.0
4KB,1000,0.125,8002.4,483.0
4KB,1000,0.117,8548.3,483.0
4KB,1000,0.117,8536.4,483.0
4KB,1000,0.115,8725.0,483.0
4KB,1000,0.115,8716.8,483.0
4KB,1000,0.113,8822.4,483.0
4KB,1000,0.115,8691.2,483.0
4KB,1000,0.121,8243.5,483.0
4KB,1000,0.114,8754.5,483.0
4KB,1000,0.118,8495.3,483.0
4KB,1000,0.116,8630.9,483.0
4KB,1000,0.116,8619.0,483.0
4KB,1000,0.113,8852.5,483.0
4KB,1000,0.113,8881.5,483.0
4KB,1000,0.114,8786.2,483.0
4KB,1000,0.117,8550.2,483.0
4KB,1000,0.120,8355.9,483.0
4KB,1000,0.121,8289.2,483.0
4KB,1000,0.117,8514.9,483.0
4KB,1000,0.116,8651.3,483.0
4KB,1000,0.112,8916.3,483.0
4KB,1000,0.122,8167.1,483.0
4KB,1000,0.114,8799.3,483.0
4KB,1000,0.115,8708.1,483.0
4KB,1000,0.116,8640.4,483.0
4KB,1000,0.115,8688.6,483.0
4KB,1000,0.094,10611.0,483.0
4KB,1000,0.094,10653.0,483.0
4KB,1000,0.091,10980.2,483.0
4KB,1000,0.090,11165.0,483.0
4KB,1000,0.092,10891.2,483.0
4KB,1000,0.092,10881.2,483.0
4KB,1000,0.093,10795.2,483.0
4KB,1000,0.117,8529.1,483.0
4KB,1000,0.124,8033.4,483.0
4KB,1000,0.095,10493.1,483.0
4KB,1000,0.093,10809.5,483.0
4KB,1000,0.095,10554.1,483.0
4KB,1000,0.090,11079.2,483.0
4KB,1000,0.090,11084.1,483.0
4KB,1000,0.091,11008.5,483.0
4KB,1000,0.089,11222.5,483.0
4KB,1000,0.092,10845.5,483.0
4KB,1000,0.083,12082.0,483.0
4KB,1000,0.089,11288.6,483.0
4KB,1000,0.095,10471.2,483.0
4KB,1000,0.094,10596.3,483.0
4KB,1000,0.091,10997.2,483.0
4KB,1000,0.086,11610.4,483.0
4KB,1000,0.085,11701.5,483.0
4KB,1000,0.087,11543.1,483.0
4KB,1000,0.085,11821.0,483.0
4KB,1000,0.092,10827.8,483.0
4KB,1000,0.092,10898.2,483.0
4KB,1000,0.084,11923.5,483.0
4KB,1000,0.090,11068.6,483.0
4KB,1000,0.091,11006.0,483.0
4KB,1000,0.090,11120.5,483.0
4KB,1000,0.086,11630.1,483.0
4KB,1000,0.091,11007.5,483.0
4KB,1000,0.087,11521.0,483.0
4KB,1000,0.084,11937.6,483.0
4KB,1000,0.084,11962.2,483.0
