Test name,Total connections,Duration,Conn Rate,Reply Size
Large,1000,0.366,2731.5,483.0
Large,1000,0.367,2726.4,483.0
Large,1000,0.358,2796.2,483.0
Large,1000,0.372,2691.5,483.0
Large,1000,0.371,2691.9,483.0
Large,1000,0.344,2906.8,483.0
Large,1000,0.358,2796.7,483.0
Large,1000,0.364,2747.0,483.0
Large,1000,0.335,2988.9,483.0
Large,1000,0.333,3005.7,483.0
Large,1000,0.338,2961.4,483.0
Large,1000,0.320,3129.1,483.0
Large,1000,0.334,2995.4,483.0
Large,1000,0.333,2999.3,483.0
Large,1000,0.339,2949.2,483.0
Large,1000,0.344,2908.1,483.0
Large,1000,0.416,2404.2,483.0
Large,1000,0.346,2894.0,483.0
Large,1000,0.348,2877.5,483.0
Large,1000,0.334,2998.1,483.0
Large,1000,0.353,2835.6,483.0
Large,1000,0.348,2876.2,483.0
Large,1000,0.338,2956.4,483.0
Large,1000,0.336,2980.6,483.0
Large,1000,0.366,2729.2,483.0
Large,1000,0.355,2815.3,483.0
Large,1000,0.343,2911.7,483.0
Large,1000,0.350,2856.1,483.0
Large,1000,0.331,3017.9,483.0
Large,1000,0.329,3039.0,483.0
Large,1000,0.343,2916.1,483.0
Large,1000,0.353,2830.8,483.0
Large,1000,0.353,2834.5,483.0
Large,1000,0.350,2853.1,483.0
Large,1000,0.352,2838.8,483.0
Large,1000,0.372,2689.6,483.0
Large,1000,0.358,2795.9,483.0
Large,1000,0.330,3029.6,483.0
Large,1000,0.341,2933.3,483.0
Large,1000,0.352,2839.6,483.0
Large,1000,0.343,2911.9,483.0
Large,1000,0.349,2864.4,483.0
Large,1000,0.345,2898.9,483.0
Large,1000,0.354,2827.9,483.0
Large,1000,0.371,2695.1,483.0
Large,1000,0.339,2952.4,483.0
Large,1000,0.361,2773.2,483.0
Large,1000,0.366,2732.5,483.0
Large,1000,0.336,2980.3,483.0
Large,1000,0.337,2966.9,483.0
Large,1000,0.322,3105.2,483.0
Large,1000,0.349,2868.8,483.0
Large,1000,0.354,2821.1,483.0
Large,1000,0.363,2755.0,483.0
Large,1000,0.366,2732.1,483.0
Large,1000,0.368,2714.5,483.0
Large,1000,0.331,3019.5,483.0
Large,1000,0.331,3023.5,483.0
Large,1000,0.358,2793.2,483.0
Large,1000,0.375,2669.1,483.0
Large,1000,0.383,2612.4,483.0
Large,1000,0.365,2738.3,483.0
Large,1000,0.346,2891.1,483.0
Large,1000,0.342,2920.9,483.0
Large,1000,0.354,2827.6,483.0
Large,1000,0.328,3050.9,483.0
Large,1000,0.342,2922.9,483.0
Large,1000,0.337,2964.3,483.0
Large,1000,0.335,2988.9,483.0
Large,1000,0.351,2850.9,483.0
Large,1000,0.346,2888.6,483.0
Large,1000,0.362,2761.4,483.0
Large,1000,0.449,2226.8,483.0
Large,1000,0.360,2776.1,483.0
Large,1000,0.356,2810.5,483.0
Large,1000,0.359,2783.3,483.0
Large,1000,0.345,2897.6,483.0
Large,1000,0.338,2960.1,483.0
Large,1000,0.353,2834.1,483.0
Large,1000,0.335,2981.8,483.0
Large,1000,0.350,2857.9,483.0
Large,1000,0.346,2887.8,483.0
Large,1000,0.363,2752.7,483.0
Large,1000,0.376,2656.9,483.0
Large,1000,0.361,2768.3,483.0
Large,1000,0.336,2971.9,483.0
Large,1000,0.346,2889.2,483.0
Large,1000,0.348,2873.5,483.0
Large,1000,0.385,2596.9,483.0
Large,1000,0.379,2638.5,483.0
Large,1000,0.325,3076.2,483.0
Large,1000,0.354,2825.6,483.0
Large,1000,0.351,2846.4,483.0
Large,1000,0.345,2898.4,483.0
Large,1000,0.345,2898.3,483.0
Large,1000,0.356,2808.2,483.0
Large,1000,0.363,2753.6,483.0
Large,1000,0.363,2751.1,483.0
Large,1000,0.362,2761.2,483.0
Large,1000,0.351,2851.2,483.0
Large,1000,0.359,2784.6,483.0
Large,1000,0.367,2722.3,483.0
Large,1000,0.382,2617.1,483.0
Large,1000,0.361,2767.3,483.0
Large,1000,0.356,2807.8,483.0
Large,1000,0.343,2917.8,483.0
Large,1000,0.355,2820.1,483.0
Large,1000,0.372,2690.3,483.0
Large,1000,0.374,2676.8,483.0
Large,1000,0.357,2801.7,483.0
Large,1000,0.349,2863.8,483.0
Large,1000,0.363,2755.5,483.0
Large,1000,0.351,2851.5,483.0
Large,1000,0.340,2939.7,483.0
Large,1000,0.349,2863.6,483.0
Large,1000,0.334,2991.9,483.0
Large,1000,0.342,2922.5,483.0
Large,1000,0.369,2707.1,483.0
Large,1000,0.354,2823.5,483.0
Large,1000,0.336,2978.7,483.0
Large,1000,0.333,3005.2,483.0
Large,1000,0.356,2810.3,483.0
Large,1000,0.352,2843.5,483.0
Large,1000,0.359,2789.3,483.0
Large,1000,0.331,3024.7,483.0
Large,1000,0.352,2843.3,483.0
Large,1000,0.336,2980.2,483.0
Large,1000,0.353,2834.6,483.0
Large,1000,0.327,3058.8,483.0
Large,1000,0.331,3024.8,483.0
Large,1000,0.383,2608.3,483.0
Large,1000,0.341,2931.1,483.0
Medium,1000,0.334,2994.0,483.0
Medium,1000,0.315,3174.7,483.0
Medium,1000,0.322,3109.4,483.0
Medium,1000,0.326,3064.1,483.0
Medium,1000,0.373,2678.2,483.0
Medium,1000,0.358,2792.2,483.0
Medium,1000,0.373,2679.8,483.0
Medium,1000,0.340,2937.3,483.0
Medium,1000,0.338,2960.2,483.0
Medium,1000,0.319,3133.9,483.0
Medium,1000,0.360,2781.1,483.0
Medium,1000,0.350,2860.2,483.0
Medium,1000,0.353,2836.3,483.0
Medium,1000,0.363,2753.2,483.0
Medium,1000,0.368,2719.2,483.0
Medium,1000,0.346,2890.9,483.0
Medium,1000,0.359,2788.8,483.0
Medium,1000,0.361,2769.6,483.0
Medium,1000,0.349,2863.0,483.0
Medium,1000,0.370,2699.6,483.0
Medium,1000,0.367,2725.9,483.0
Medium,1000,0.337,2966.1,483.0
Medium,1000,0.337,2964.7,483.0
Medium,1000,0.365,2737.9,483.0
Medium,1000,0.348,2874.6,483.0
Medium,1000,0.386,2593.0,483.0
Medium,1000,0.368,2719.6,483.0
Medium,1000,0.381,2622.6,483.0
Medium,1000,0.368,2719.2,483.0
Medium,1000,0.367,2724.2,483.0
Medium,1000,0.335,2980.8,483.0
Medium,1000,0.370,2704.1,483.0
Medium,1000,0.358,2793.5,483.0
Medium,1000,0.360,2774.0,483.0
Medium,1000,0.346,2892.6,483.0
Medium,1000,0.374,2673.5,483.0
Medium,1000,0.355,2814.8,483.0
Medium,1000,0.359,2786.8,483.0
Medium,1000,0.340,2938.0,483.0
Medium,1000,0.342,2921.2,483.0
Medium,1000,0.360,2777.9,483.0
Medium,1000,0.347,2884.8,483.0
Medium,1000,0.349,2868.0,483.0
Medium,1000,0.336,2980.2,483.0
Medium,1000,0.353,2835.1,483.0
Medium,1000,0.361,2767.8,483.0
Medium,1000,0.351,2852.3,483.0
Medium,1000,0.356,2812.9,483.0
Medium,1000,0.336,2979.4,483.0
Medium,1000,0.336,2974.6,483.0
Medium,1000,0.333,3004.8,483.0
Medium,1000,0.338,2960.6,483.0
Medium,1000,0.360,2781.3,483.0
Medium,1000,0.342,2925.6,483.0
Medium,1000,0.353,2834.9,483.0
Medium,1000,0.360,2775.0,483.0
Medium,1000,0.366,2729.2,483.0
Medium,1000,0.359,2781.9,483.0
Medium,1000,0.370,2705.5,483.0
Medium,1000,0.357,2797.2,483.0
Medium,1000,0.356,2809.7,483.0
Medium,1000,0.352,2842.5,483.0
Medium,1000,0.349,2869.2,483.0
Medium,1000,0.321,3111.1,483.0
Medium,1000,0.323,3099.9,483.0
Medium,1000,0.320,3125.3,483.0
Medium,1000,0.324,3088.9,483.0
Medium,1000,0.326,3066.3,483.0
Medium,1000,0.338,2962.8,483.0
Medium,1000,0.321,3118.1,483.0
Medium,1000,0.318,3140.8,483.0
Medium,1000,0.306,3270.7,483.0
Medium,1000,0.314,3179.7,483.0
Medium,1000,0.332,3007.5,483.0
Medium,1000,0.309,3239.2,483.0
Medium,1000,0.313,3190.4,483.0
Medium,1000,0.318,3146.3,483.0
Medium,1000,0.328,3047.9,483.0
Medium,1000,0.320,3120.3,483.0
Medium,1000,0.309,3232.7,483.0
Medium,1000,0.314,3181.2,483.0
Medium,1000,0.326,3066.0,483.0
Medium,1000,0.323,3096.8,483.0
Medium,1000,0.303,3298.1,483.0
Medium,1000,0.338,2959.4,483.0
Medium,1000,0.331,3018.5,483.0
Medium,1000,0.339,2950.7,483.0
Medium,1000,0.315,3179.0,483.0
Medium,1000,0.305,3277.2,483.0
Medium,1000,0.313,3195.3,483.0
Medium,1000,0.320,3125.3,483.0
Medium,1000,0.311,3219.6,483.0
Medium,1000,0.339,2948.9,483.0
Medium,1000,0.326,3064.9,483.0
Medium,1000,0.323,3098.2,483.0
Medium,1000,0.344,2903.9,483.0
Medium,1000,0.343,2913.2,483.0
Medium,1000,0.296,3376.6,483.0
Medium,1000,0.330,3026.0,483.0
Medium,1000,0.315,3173.5,483.0
Medium,1000,0.303,3297.5,483.0
Medium,1000,0.299,3343.5,483.0
Medium,1000,0.290,3448.0,483.0
Medium,1000,0.293,3413.8,483.0
Medium,1000,0.307,3258.7,483.0
Medium,1000,0.339,2948.4,483.0
Medium,1000,0.331,3022.4,483.0
Medium,1000,0.334,2996.9,483.0
Medium,1000,0.326,3066.2,483.0
Medium,1000,0.311,3210.7,483.0
Medium,1000,0.305,3278.8,483.0
Medium,1000,0.307,3252.2,483.0
Medium,1000,0.310,3225.7,483.0
Medium,1000,0.326,3064.3,483.0
Medium,1000,0.329,3040.2,483.0
Medium,1000,0.324,3084.5,483.0
Medium,1000,0.329,3039.4,483.0
Medium,1000,0.317,3155.7,483.0
Medium,1000,0.275,3635.2,483.0
Medium,1000,0.298,3361.1,483.0
Medium,1000,0.324,3082.8,483.0
Medium,1000,0.308,3245.5,483.0
Medium,1000,0.315,3178.0,483.0
Medium,1000,0.328,3053.3,483.0
Medium,1000,0.331,3022.4,483.0
Medium,1000,0.333,3001.3,483.0
Medium,1000,0.309,3241.2,483.0
Medium,1000,0.324,3085.0,483.0
Medium,1000,0.359,2782.9,483.0
Medium,1000,0.321,3118.5,483.0
Medium,1000,0.314,3184.7,483.0
Medium,1000,0.325,3078.0,483.0
Medium,1000,0.313,3196.1,483.0
Medium,1000,0.303,3298.3,483.0
Medium,1000,0.329,3038.6,483.0
Medium,1000,0.308,3242.3,483.0
Medium,1000,0.319,3139.6,483.0
